Date,Date Of Interest,Case Count,Death Count,Hospitalized Count,Percent Positive,Percent Positive 3Days Agg,Positive Tests,Total Tests
3/1/2020,3/1/2020,0,0,4,0,0,0,0
3/2/2020,3/2/2020,0,0,22,0,0,0,0
3/3/2020,3/3/2020,2,0,20,0.07,0,1,14
3/4/2020,3/4/2020,5,0,22,0.16,0,5,32
3/5/2020,3/5/2020,3,0,20,0.06,0.09,4,65
3/6/2020,3/6/2020,8,0,18,0.09,0.09,8,85
3/7/2020,3/7/2020,7,0,15,0.12,0.09,8,67
3/8/2020,3/8/2020,21,0,18,0.19,0.14,21,109
3/9/2020,3/9/2020,58,0,49,0.15,0.15,60,405
3/10/2020,3/10/2020,70,0,63,0.16,0.16,73,467
3/11/2020,3/11/2020,154,1,90,0.2,0.18,163,810
3/12/2020,3/12/2020,357,0,92,0.23,0.21,369,1606
3/13/2020,3/13/2020,620,0,157,0.28,0.25,626,2201
3/14/2020,3/14/2020,644,2,159,0.38,0.3,662,1763
3/15/2020,3/15/2020,1035,5,189,0.44,0.37,1051,2397
3/16/2020,3/16/2020,2123,8,317,0.43,0.42,2184,5061
3/17/2020,3/17/2020,2455,8,360,0.44,0.44,2519,5707
3/18/2020,3/18/2020,2985,21,474,0.47,0.45,3056,6473
3/19/2020,3/19/2020,3713,24,560,0.48,0.47,3782,7922
3/20/2020,3/20/2020,4014,47,665,0.51,0.49,4101,8019
3/21/2020,3/21/2020,2640,44,701,0.55,0.51,2722,4938
3/22/2020,3/22/2020,2582,50,725,0.58,0.54,2695,4639
3/23/2020,3/23/2020,3571,82,1038,0.63,0.59,3734,5970
3/24/2020,3/24/2020,4507,95,1152,0.62,0.61,4657,7556
3/25/2020,3/25/2020,4853,123,1299,0.63,0.62,5070,8019
3/26/2020,3/26/2020,5046,190,1456,0.68,0.64,5274,7779
3/27/2020,3/27/2020,5129,218,1394,0.67,0.66,5322,7925
3/28/2020,3/28/2020,3479,273,1366,0.71,0.68,3667,5147
3/29/2020,3/29/2020,3559,291,1406,0.7,0.69,3737,5325
3/30/2020,3/30/2020,6128,328,1717,0.69,0.7,6444,9315
3/31/2020,3/31/2020,5473,383,1695,0.67,0.69,5762,8598
4/1/2020,4/1/2020,5462,446,1585,0.63,0.66,5755,9137
4/2/2020,4/2/2020,5767,499,1614,0.6,0.63,6127,10227
4/3/2020,4/3/2020,5676,498,1598,0.58,0.6,5997,10410
4/4/2020,4/4/2020,3867,510,1342,0.59,0.59,4082,6895
4/5/2020,4/5/2020,3793,581,1328,0.58,0.58,4035,7015
4/6/2020,4/6/2020,6377,574,1723,0.56,0.57,6802,12103
4/7/2020,4/7/2020,6065,598,1604,0.55,0.56,6450,11745
4/8/2020,4/8/2020,5586,568,1539,0.53,0.55,6037,11462
4/9/2020,4/9/2020,5074,560,1428,0.53,0.54,5468,10336
4/10/2020,4/10/2020,4520,539,1337,0.55,0.53,4934,8934
4/11/2020,4/11/2020,3733,542,1097,0.51,0.53,4025,7826
4/12/2020,4/12/2020,2888,573,996,0.48,0.52,3245,6804
4/13/2020,4/13/2020,3311,570,1212,0.46,0.48,3736,8146
4/14/2020,4/14/2020,4146,512,1087,0.42,0.45,4787,11293
4/15/2020,4/15/2020,3876,454,982,0.38,0.42,4368,11605
4/16/2020,4/16/2020,3525,413,882,0.35,0.38,4009,11311
4/17/2020,4/17/2020,3580,384,903,0.34,0.35,4110,12260
4/18/2020,4/18/2020,2169,391,661,0.33,0.34,2553,7786
4/19/2020,4/19/2020,2346,398,595,0.34,0.33,2779,8178
4/20/2020,4/20/2020,3786,365,722,0.32,0.33,4478,13930
4/21/2020,4/21/2020,3062,322,660,0.31,0.32,3699,11980
4/22/2020,4/22/2020,3458,312,599,0.3,0.31,4189,13972
4/23/2020,4/23/2020,2843,332,533,0.28,0.3,3482,12502
4/24/2020,4/24/2020,2538,316,551,0.27,0.28,3203,11958
4/25/2020,4/25/2020,1594,264,403,0.26,0.27,1995,7726
4/26/2020,4/26/2020,1003,247,375,0.23,0.26,1312,5722
4/27/2020,4/27/2020,2289,272,443,0.23,0.24,2969,13152
4/28/2020,4/28/2020,2727,228,442,0.23,0.23,3481,15277
4/29/2020,4/29/2020,2340,240,407,0.2,0.22,3083,15083
4/30/2020,4/30/2020,2019,222,343,0.19,0.21,2668,13853
5/1/2020,5/1/2020,1884,209,349,0.19,0.2,2562,13290
5/2/2020,5/2/2020,1057,192,261,0.19,0.19,1468,7661
5/3/2020,5/3/2020,784,178,255,0.18,0.19,1111,6199
